teacher_id,user_id,school_id,first_name,middle_name,last_name,phone_number,employment_type,salary,join_date
70,70,7,Michele,Chad,Young,(856) 656-9697,full-time,44636.08,2022-11-21
71,71,1,Elizabeth,Jason,Anderson,(240) 908-6410,part-time,72814.57,2022-12-12
72,72,9,Selena,,Duncan,(983) 363-2915,part-time,67084.03,2021-12-04
73,73,2,Thomas,,Mueller,(510) 733-8866,part-time,65745.03,2020-11-13
74,74,8,Lindsey,,Lee,(537) 334-1402,full-time,49948.66,2016-07-10
75,75,9,Collin,,Jordan,(961) 316-8922,substitute,47368.32,2021-11-18
76,76,8,Rodney,,Owens,(641) 492-6276,part-time,72767.06,2020-09-04
77,77,8,Jessica,,Nunez,(989) 415-4126,full-time,40748.8,2016-01-16
78,78,8,Tracey,,Garcia,(349) 782-2626,part-time,65777.15,2023-03-06
79,79,2,Richard,Matthew,Hensley,(613) 980-8161,substitute,62288.42,2022-12-02
80,80,8,John,James,West,(216) 549-5609,part-time,51645.42,2021-03-20
81,81,5,Robert,,Ramirez,(201) 602-8953,full-time,76551.77,2023-06-12
82,82,3,John,Sandra,Ramos,(844) 316-6968,full-time,65530.53,2019-08-31
83,83,1,Michelle,,Pierce,(781) 246-6650,part-time,56482.09,2018-03-12
84,84,8,Brent,,Kidd,(436) 330-2310,part-time,76929.26,2023-03-10
85,85,3,Mary,,Novak,(990) 982-6021,full-time,44237.55,2019-05-30
86,86,4,Sara,Melinda,Martin,(371) 717-3887,full-time,54139.95,2019-09-03
87,87,9,Todd,,Lewis,(669) 396-1031,part-time,51740.07,2023-01-25
88,88,3,Richard,,Brown,(993) 832-8127,substitute,68625.41,2016-10-15
89,89,6,Nicholas,Tricia,Baker,(351) 267-9441,full-time,75432.92,2016-08-04
90,90,5,Kristen,Spencer,Henderson,(216) 611-8387,full-time,77446.23,2019-01-22
91,91,6,Susan,Wendy,Peters,(230) 804-1615,full-time,70968.64,2023-06-14
92,92,1,Jennifer,,Moore,(936) 490-8308,substitute,59263.45,2023-10-28
93,93,8,Kenneth,,Novak,(561) 388-1483,full-time,54414.22,2023-11-24
94,94,9,Beth,,Daniels,(963) 607-3231,full-time,48132.47,2016-05-04
95,95,4,Julie,Brian,Silva,(208) 211-2146,full-time,41213.72,2024-05-01
96,96,1,Wesley,,Farrell,(576) 298-8586,part-time,77528.09,2016-04-30
97,97,8,Eric,,Yu,(780) 320-3882,part-time,70504.26,2020-05-24
98,98,1,Christopher,,Lopez,(225) 235-4755,full-time,56072.8,2017-01-26
99,99,10,Brooke,,Leonard,(223) 757-5534,full-time,67704.14,2024-03-11
100,100,8,Joe,,Wilson,(828) 967-5003,full-time,58882.8,2022-11-05
101,101,9,Pamela,John,Wheeler,(927) 520-1212,full-time,79479.89,2018-05-23
102,102,6,Christine,,Barnes,(855) 591-8610,full-time,47888.7,2016-04-08
103,103,9,Brandy,,Mills,(821) 745-1323,part-time,67054.83,2019-10-07
104,104,7,Sarah,,Harris,(849) 469-3264,full-time,43993.11,2016-03-10
105,105,7,Jennifer,John,Foster,(544) 443-2149,full-time,77456.33,2022-05-04
106,106,1,Emily,,Evans,(394) 245-9192,full-time,59469.33,2016-09-19
107,107,3,Leslie,Karen,Jones,(915) 714-4510,full-time,69936.9,2021-02-17
108,108,2,Stephen,,Murillo,(312) 753-9906,part-time,67398.34,2018-03-23
109,109,4,Wendy,,Jones,(734) 456-9928,full-time,44692.04,2017-01-10
110,110,6,Jason,,Baker,(930) 859-9668,part-time,70443.73,2019-06-03
111,111,4,Sarah,,Ibarra,(250) 402-3092,full-time,56381.16,2021-02-15
112,112,4,Natasha,Mike,Moore,(759) 453-8523,full-time,74247.14,2017-03-29
113,113,3,Martha,,Warner,(815) 488-3931,full-time,79364.31,2018-02-18
114,114,9,Cheryl,Vanessa,Valdez,(695) 558-6153,full-time,45136.9,2015-12-24
115,115,7,Alan,,Montoya,(879) 362-3893,full-time,74889.39,2016-05-20
116,116,7,Kevin,,Alvarado,(833) 245-1781,full-time,77038.28,2021-09-04
117,117,2,Sheila,Dennis,Wilson,(767) 329-1997,full-time,59224.82,2017-02-19
118,118,1,Daniel,,Tran,(590) 755-2586,full-time,65613.15,2023-12-26
119,119,3,Joseph,,Jacobs,(834) 234-3006,full-time,47985.2,2022-05-08
120,120,4,Jennifer,James,Walters,(743) 823-5176,full-time,60093.9,2018-05-19
121,121,1,Joseph,,Freeman,(546) 922-3908,full-time,62060.27,2020-11-25
122,122,8,Rebecca,,Mathis,(848) 251-6845,full-time,62877.64,2018-11-22
123,123,1,Christopher,,Henderson,(503) 342-3757,part-time,77801.21,2018-02-15
124,124,2,Joshua,,Smith,(562) 607-8376,substitute,79937.64,2017-09-10
125,125,8,Kellie,Dana,Green,(387) 709-7561,full-time,78946.19,2015-07-18
126,126,9,Joyce,,Arnold,(431) 786-3163,full-time,42291.14,2018-04-18
127,127,4,Ronald,Alec,Jones,(959) 892-3291,full-time,74282.6,2020-08-05
128,128,9,Nicole,,Mckee,(407) 231-9630,part-time,72469.6,2019-09-22
129,129,9,Amy,,Davenport,(239) 456-5503,full-time,64233.11,2020-04-10
130,130,3,Brandi,,Hernandez,(827) 382-9719,substitute,60668.95,2017-04-28
131,131,10,David,,Parker,(524) 412-5426,part-time,68015.77,2023-04-10
132,132,3,Rachel,Laura,Valencia,(917) 771-3240,part-time,48688.23,2016-11-17
133,133,9,Rachel,,Clark,(299) 542-8232,full-time,71195.71,2019-09-15
134,134,6,John,,Garcia,(866) 208-7512,part-time,65558.03,2023-12-16
135,135,4,Kimberly,Nicole,Russell,(309) 805-1382,full-time,53915.52,2016-02-05
136,136,2,Christine,,Moore,(221) 339-7449,full-time,47086.6,2015-06-15
137,137,1,Sarah,Michelle,Cherry,(919) 468-8824,full-time,46923.16,2019-07-14
138,138,8,Lisa,,Keith,(847) 305-5560,full-time,63292.41,2019-04-02
139,139,6,Angel,,Doyle,(442) 443-3684,substitute,60133.98,2018-05-28
140,140,9,Martin,Sarah,Pham,(331) 311-2486,substitute,54403.44,2015-09-13
141,141,3,Michelle,,Cochran,(497) 811-1660,full-time,42069.23,2018-08-30
142,142,9,Joseph,,Cobb,(461) 918-3338,full-time,48545.32,2022-10-13
143,143,3,Daniel,Monica,Garrison,(355) 500-2785,part-time,67414.82,2015-06-04
144,144,7,Jeffrey,,Velasquez,(707) 514-8202,full-time,64272.82,2021-03-23
145,145,1,Steven,,Torres,(589) 904-8316,full-time,42764.33,2023-02-18
146,146,8,Laura,Jeremy,Johnson,(818) 736-2608,full-time,44885.42,2015-07-26
147,147,6,James,,Murphy,(996) 800-2973,full-time,77127.17,2020-03-04
148,148,4,Michelle,,Rasmussen,(427) 543-4872,full-time,69220.71,2018-12-25
149,149,8,Joshua,Darlene,Ross,(474) 518-5843,full-time,51921.13,2018-06-17
150,150,4,Tina,,Herrera,(628) 368-9821,full-time,58864.09,2016-10-19
151,151,4,Sheila,,Wilson,(695) 259-4959,substitute,49976.01,2016-09-29
152,152,1,Tara,,White,(248) 437-8289,part-time,60461.55,2018-01-24
153,153,9,Sydney,,Baker,(448) 754-3833,full-time,69394.16,2022-11-02
154,154,9,Daniel,,Hamilton,(713) 986-3737,part-time,66137.49,2021-02-10
155,155,3,Jessica,Lee,Obrien,(323) 974-9907,full-time,43705.21,2016-10-10
156,156,6,William,Paul,Ray,(926) 919-6363,full-time,49043.47,2023-04-23
157,157,2,Jonathan,,Fletcher,(684) 905-5439,full-time,69984.22,2019-07-10
158,158,1,Aaron,,Frost,(425) 622-5460,part-time,67130.66,2022-10-05
159,159,6,Amanda,Jennifer,Harmon,(566) 678-4169,substitute,63214.84,2017-09-09
160,160,5,Emily,Michael,Jones,(213) 571-2351,part-time,72034.59,2020-01-13
161,161,9,Elizabeth,Mark,Edwards,(676) 959-2567,full-time,61159.17,2024-03-02
162,162,5,Melanie,,Cortez,(637) 518-9922,full-time,73833.22,2018-01-01
163,163,2,Kevin,Kyle,Ortiz,(369) 510-9328,full-time,61136.73,2024-03-03
164,164,4,Richard,,Phillips,(635) 911-6867,full-time,62566.22,2015-10-10
165,165,6,David,,Fisher,(417) 238-4201,full-time,48225.49,2016-01-06
166,166,5,Shelby,Erica,Orr,(692) 286-5741,substitute,72165.6,2018-12-20
167,167,3,Christina,Kevin,Kelley,(264) 921-6223,part-time,63755.95,2016-07-29
168,168,9,Aaron,,Mitchell,(633) 353-2054,full-time,60973.51,2018-05-13
169,169,6,Russell,Bethany,Pena,(839) 273-7559,substitute,64722.51,2020-05-19
170,170,7,Steven,Scott,Lewis,(466) 604-2166,full-time,60192.15,2017-06-21
171,171,7,Thomas,,Santana,(852) 439-8151,part-time,63019.0,2021-11-01
172,172,7,Laura,,Jackson,(714) 795-1795,full-time,76162.53,2022-12-13
173,173,10,Christopher,,Robertson,(796) 316-2178,part-time,51577.47,2020-02-02
174,174,9,Cynthia,,Rogers,(263) 839-4731,full-time,52604.94,2023-05-23
175,175,4,Loretta,,Potter,(271) 729-9694,full-time,47582.84,2021-07-16
176,176,6,Emily,Jeffrey,Gonzalez,(413) 999-6147,full-time,59796.52,2021-06-15
177,177,2,Andrew,John,Alvarez,(514) 663-3781,part-time,74718.33,2023-04-28
178,178,7,Melissa,,Jones,(517) 685-8551,full-time,57606.62,2018-03-30
179,179,3,Robert,,Soto,(962) 607-1112,part-time,61285.48,2015-12-03
180,180,4,James,,Horton,(285) 951-7522,full-time,56678.77,2020-06-17
181,181,5,Troy,,Sanchez,(773) 283-5324,full-time,74274.98,2016-10-11
182,182,7,Diana,,Smith,(276) 588-7151,full-time,78922.63,2020-10-15
183,183,4,Karen,,Carrillo,(689) 990-4816,full-time,71690.91,2017-10-29
184,184,5,Daniel,Ronald,Thompson,(331) 861-3809,full-time,49318.44,2018-09-17
185,185,7,Susan,,Holmes,(357) 937-1088,full-time,47107.51,2017-04-25
186,186,8,Brent,,Wright,(595) 389-4617,full-time,44138.95,2015-07-07
187,187,2,Melinda,,Bryant,(336) 412-6107,full-time,54651.98,2020-08-19
188,188,4,Laurie,Elizabeth,Travis,(792) 380-6390,full-time,69671.94,2021-12-26
189,189,8,Caitlin,Stephanie,Vance,(612) 422-9684,full-time,41200.76,2023-09-04
190,190,1,Cheyenne,,Ball,(772) 533-6291,full-time,76772.41,2015-07-31
191,191,5,William,,Rivas,(214) 911-4569,part-time,78020.21,2019-09-28
192,192,5,Amy,Phyllis,Manning,(650) 714-8190,full-time,69509.05,2021-03-19
193,193,4,Thomas,Jonathon,Wright,(439) 763-5646,full-time,58521.77,2023-08-08
194,194,8,Dana,,Cannon,(533) 469-5491,full-time,42608.44,2017-04-06
195,195,8,Adrienne,,Sims,(385) 381-1682,part-time,67483.31,2018-07-26
196,196,4,Joshua,,Jones,(283) 579-6921,full-time,44376.07,2016-05-12
197,197,9,Justin,,Nelson,(496) 547-7211,full-time,73943.8,2021-08-27
198,198,6,Luis,Amber,Taylor,(371) 930-8988,full-time,62662.26,2024-01-05
199,199,6,Jesse,,Benson,(972) 720-7535,full-time,55861.72,2019-07-27
200,200,9,Jasmine,,Brown,(956) 781-4341,part-time,78026.93,2020-01-10
